File Name: C:\Users\common\Documents\CLART\Specificity CPH\CLART spec CPH 170615 cl.rbx																																													
Acquisition Date: 15-Jun-2017, 09:09 AM																																													
Reader Serial Number: LX10010029402																																													
RP1 PMT (Volts): 544.08																																													
RP1 Target: 3684																																													
Plate ID: 																																													
																																													
Well	Type	Description	HPV 6 (20)	HPV 11 (11)	HPV 16 (16)	HPV 18 (38)	HPV 18.6650G (34)	HPV 26 (26)	HPV 30 (30)	HPV 31 (22)	HPV 33.2 (33)	HPV 35 (35)	HPV 35.6624A (41)	HPV 39 (39)	HPV 40 (40)	HPV 42 (42)	HPV 43 (43)	HPV 45 (45)	HPV 51 (51)	HPV 52 (52)	HPV 53 (53)	HPV 54 (54)	HPV 56 (56)	HPV 58.1 (47)	HPV 59 (24)	HPV 61 (25)	HPV 66 (66)	HPV 67 (27)	HPV 68 ME.1 (44)	HPV 68 O (28)	HPV 69 (19)	HPV 70 (21)	HPV 73 (58)	HPV 74 (23)	HPV 81 (29)	HPV 82 (32)	HPV 83 (36)	HPV 86 (37)	HPV 87 (48)	HPV 89 (49)	HPV 90 (55)	HPV 91 (57)	U1 (46)	U2 (50)	Sampling Errors
B9	X66	16hvh904942	0	0	0	1	1	0	2	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	0	1	4	2	1	3	1	1	1	1	2	1	7	16	
C9	X67	16hvh904943	1	1	1	1	1	0	2	1	0	1	0	2	3	1	1	1	1	1	1	1	1	1	1	0	2	3	5	1	0	1	4	2	2	4	1	1	1	1	3	1	31	81	
D9	X68	16hvh904943	1	1	0	1	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	0	1	4	1	1	2	1	1	1	1	1	1	4	6	
E9	X69	16hvh904944	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	106	1	1	1	1	1	1	0	2	1	1	1	0	1	4	1	1	10	1	1	1	1	1	1	9	11	
F9	X70	16hvh904944	1	1	0	0	1	0	2	2	1	1	1	3	1	1	1	1	105	1	1	1	1	1	1	1	2	1	2	1	1	1	4	1	1	10	1	1	1	1	2	1	15	23	
G9	X71	16hvh905010	1	1	0	1	1	0	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	11	6	1	1	4	1	38	3	1	1	1	1	2	1	47	60	
H9	X72	16hvh905010	1	0	0	0	1	1	1	1	0	0	1	3	2	1	1	1	1	1	1	1	1	1	1	1	2	1	7	5	0	1	4	2	49	3	1	1	1	1	2	1	29	40	
A10	X73	16hvh905062	1	1	0	1	1	1	2	0	1	12	2	2	1	1	1	1	1	1	1	1	1	1	0	0	2	1	3	1	1	0	4	120	1	2	2	1	1	1	2	1	54	31	
B10	X74	16hvh905062	1	0	1	1	1	0	2	0	1	10	2	2	2	1	0	1	1	1	1	1	1	1	1	0	2	1	2	1	1	1	4	114	1	2	1	1	1	1	2	1	51	34	
C10	X75	16hvh905067	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	2	0	3	1	1	1	5	1	1	2	19	1	1	1	2	1	10	56	
D10	X76	16hvh905067	0	1	1	0	0	0	2	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	0	0	2	0	2	1	0	1	4	1	1	1	1	1	0	1	1	1	8	14	
E10	X77	16hvh905102	2	0	0	1	0	0	4	0	1	1	1	2	29	1	1	1	1	1	1	1	1	1	1	1	2	8	2	1	0	1	4	6	1	10	1	1	0	1	3	1	6	10	
F10	X78	16hvh905102	2	0	1	1	0	0	3	0	1	0	1	2	22	1	1	1	1	1	1	1	1	1	1	0	2	3	2	1	0	1	4	4	1	6	1	2	1	1	2	1	4	8	
G10	X79	16hvh905115	1	1	0	1	0	1	2	1	1	1	1	3	1	1	1	28	1	1	1	1	1	1	0	1	2	1	1	1	1	1	4	1	1	2	1	1	1	1	2	1	13	10	
H10	X80	16hvh905115	1	1	1	0	0	0	2	0	1	0	1	2	1	1	1	37	1	1	1	1	1	1	0	0	2	1	1	1	0	1	4	1	1	1	1	1	0	1	2	1	12	8	
A11	X81	16hvh905117	1	0	0	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	0	1	4	1	1	1	0	1	0	1	1	1	7	14	
B11	X82	16hvh905117	1	0	0	1	0	0	2	1	1	1	1	11	3	1	1	1	1	1	1	1	1	1	1	0	2	1	4	1	0	1	4	1	1	2	1	2	1	1	1	1	16	43	
C11	X83	16hvh905119	1	1	0	0	1	0	2	15	0	1	0	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	0	1	4	125	1	2	1	1	1	1	2	2	26	22	
D11	X84	16hvh905119	1	0	0	1	1	1	2	23	0	1	1	2	6	1	1	1	0	1	1	1	1	1	1	0	1	1	2	1	0	1	3	158	1	3	1	1	1	1	2	1	19	15	
E11	X85	16hvh905166	1	0	224	1	0	0	2	1	1	9	1	2	2	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	0	1	4	2	1	2	1	1	1	1	4	1	55	29	
F11	X86	16hvh905166	1	0	217	1	0	1	2	0	1	8	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	0	1	4	1	1	2	1	1	1	1	4	1	57	35	
